"Region, subregion, country or area *",1952,1957,1962,1967,1972,1977,1982,1987,1992,1997,2002,2007
Burundi,2406.034,2635.622,2907.320,3253.215,3569.655,3854.446,4379.727,5027.143,5685.569,6122.130,6704.118,7862.226
Comoros,166.538,181.990,197.202,215.900,239.229,275.903,326.944,376.647,436.454,501.955,569.480,641.624
Djibouti,64.744,73.699,94.203,131.405,179.237,277.472,385.268,490.337,615.050,660.858,746.947,805.456
Eritrea,849.258,939.085,1060.489,1210.304,1384.789,1591.622,1836.825,2127.421,2257.593,2195.192,2481.059,2996.540
Ethiopia,18819.701,20764.450,23221.385,26280.135,30140.799,33577.240,36995.246,43329.238,51423.591,60697.443,70142.090,80674.343
Kenya,6415.955,7411.766,8647.002,10187.487,12146.070,14638.887,17736.326,21382.111,25326.080,29415.660,33751.746,38705.934
Madagascar,4256.761,4753.531,5352.497,6073.529,6946.619,7998.157,9234.137,10647.753,12301.338,14347.860,16765.122,19433.520
Malawi,3072.386,3416.929,3839.047,4350.456,4958.556,5717.954,6565.985,8141.140,9685.974,10264.906,11713.663,13341.808
Mauritius,521.191,605.487,698.310,784.774,852.394,922.329,988.889,1030.176,1082.948,1154.141,1201.805,1233.890
Mayotte,16.444,20.839,26.537,33.009,40.199,48.888,61.044,80.445,105.826,134.206,161.204,190.098
Mozambique,6165.054,6760.108,7507.309,8417.698,9446.235,10738.534,12189.817,12786.353,13805.999,16397.175,18764.147,21673.319
Réunion,268.481,307.982,355.425,420.996,475.476,492.289,526.950,578.938,634.793,699.307,760.250,808.728
Rwanda,2314.181,2695.818,3052.937,3420.897,3987.223,4655.386,5504.847,6779.981,6702.239,6419.898,8427.061,9273.759
Seychelles,37.475,39.837,43.461,48.916,55.127,62.483,68.120,69.946,72.661,78.357,84.077,90.082
Somalia,2351.943,2592.154,2874.215,3227.835,3479.792,4802.134,6608.040,6862.267,7295.380,7936.122,9501.335,11080.122
South Sudan,2525.204,2700.075,2951.041,3268.392,3661.442,4144.552,4799.435,5419.808,5305.449,5411.653,6688.225,8315.144
Uganda,5452.857,6205.620,7215.799,8550.444,9929.644,11368.618,13221.991,15612.754,18561.668,21655.392,25167.261,29486.335
United Republic of Tanzania,8050.984,9229.733,10651.954,12348.188,14428.340,16905.222,19723.317,22971.208,26961.204,31192.853,35334.790,40681.416
Zambia,2431.341,2806.165,3260.645,3797.877,4466.170,5287.544,6265.869,7372.835,8451.346,9597.610,10971.704,12502.958
Zimbabwe,2922.040,3425.070,4039.209,4779.825,5673.914,6712.825,7958.239,9527.202,10900.511,11653.254,11954.293,12255.920
Angola,4713.160,5228.005,5608.499,5774.440,6248.965,7533.814,8952.971,10689.247,12657.361,14871.572,17519.418,20905.360
Cameroon,4462.133,4883.012,5398.730,6052.419,6867.170,7887.571,9166.813,10731.058,12499.499,14344.444,16357.605,18730.283
Central African Republic,1356.120,1437.062,1551.908,1708.306,1867.786,2039.914,2335.339,2646.836,2959.236,3392.432,3802.129,4198.004
Chad,2588.874,2837.770,3121.226,3434.817,3815.253,4255.242,4718.157,5412.844,6356.741,7503.494,9019.226,10818.031
Congo,858.407,950.719,1069.236,1219.547,1406.510,1629.218,1884.873,2171.319,2489.945,2867.283,3310.376,3876.123
Democratic Republic of the Congo,12681.011,14161.223,16041.187,18378.620,21121.360,24249.127,27717.293,31528.702,37333.917,43827.191,49871.670,58453.687
Equatorial Guinea,234.185,244.958,262.219,291.786,289.508,242.160,284.638,382.977,447.269,536.459,658.388,821.686
Gabon,478.655,489.439,511.285,554.054,611.705,676.264,763.932,873.871,1002.573,1141.332,1288.310,1472.565
Sao Tome and Principe,58.554,61.027,64.478,68.039,77.930,88.102,99.478,110.259,124.574,135.831,147.450,166.297
Botswana,435.031,478.664,523.777,584.098,667.096,800.532,962.859,1154.904,1363.541,1540.424,1704.637,1875.458
Eswatini,285.286,316.037,350.155,394.760,457.039,532.253,629.812,748.634,866.995,963.416,1019.054,1042.651
